ssim_mean,ssim_median,ssim_gaussian,ssim_unsharp,ssim_wiener,ssim_chmean,ssim_amsharp,ssim_laplacian,ssim_log,ssim_admed,ssim_midpoint,ssim_gabor
0.6277515847199329,0.47740599686725904,0.6560377274224424,0.9370321424611913,0.0007041204520171676,0.6218634048121915,0.33383206177319247,0.024032292014362168,0.04026247392033539,0.8139992322669132,0.2363460624256096,
0.5856430100951308,0.4550572267712889,0.6170198884342154,0.9368504351082209,0.0025951501206346885,0.5779828209146235,0.32764880083423864,0.02431267004169568,0.03591538803234352,0.7876217687778996,0.20142510370257802,
0.549089659396453,0.4073200203061896,0.5859772097229005,0.933796113888662,0.0016388907848324372,0.5415189034268312,0.3531433297333157,0.040705476328591554,0.05218217687829663,0.7690158936821253,0.21864141755914632,
0.656792567631534,0.5118245598913299,0.6787041467835526,0.9401859767446848,0.00043420494760397624,0.6516173780744771,0.3162408940635182,0.021099546466053415,0.031540675054971976,0.8293426915681941,0.24440670268362075,
0.6157355777576519,0.4856521465306523,0.6464439191662649,0.9347964442720023,0.0039041723088734746,,0.3485792586197773,0.04489880672572799,0.05094036808300679,0.8045572174732357,0.24420901766226644,
0.5167945507259147,0.39781110195655134,0.5592630194409413,0.9355915490233612,0.00397011881814661,,0.3653354600320444,0.05862711008308155,0.06898166067642457,0.7494222913904817,0.22463822364487468,
0.6651876469080304,0.5458876410499539,0.6890115838923455,0.9399017841651417,0.002824056134780994,0.6569305541559255,0.3622748510888644,0.05103383792687158,0.06326812057110559,0.8274883432407715,0.2853930727411823,
0.565155555358385,0.43916570411537886,0.6012393216047062,0.9357288097060271,0.003910344470259858,,0.31460813301449253,0.03503475616487136,0.06910871005083578,0.774016294606796,0.19915123408731397,
0.6426331494314795,0.5114519589487316,0.6673381401017334,0.9372823840882426,0.0013241847438602225,0.6359402782682569,0.3147618444265648,0.032566920316591606,0.04304883027459577,0.8184285286277834,0.21373800988373282,
0.6429241093563007,0.5086909084731032,0.6692091246996649,0.940486001878392,0.005949614990741112,,0.3302263106839617,0.062817362366073,0.1395117567954737,0.8107496827096409,0.33351579443664614,
0.6413993310555727,0.5019740739064953,0.6661528372272061,0.9387746162261158,0.0008976349868945925,0.6356872013121365,0.3129462464012594,0.02623442110604084,0.04201783836535737,0.8199377614816933,0.2643930495387294,
0.6540345443958675,0.5214875711094171,0.676459117417027,0.9309094350009773,0.0024043068832014297,0.6447398853713094,0.3475663032005083,0.04464811452441675,0.06367841913894828,0.8283917554394564,0.26961071532366315,
0.6152311674772353,0.4738031172316472,0.6433984986335736,0.9382903567764865,0.0005087864274997679,0.6104990251482024,0.3130007674305182,0.021738570868371623,0.03537822684326847,0.804379376827381,0.20411668475018765,
0.6341215310736473,0.5075098105517162,0.660850911030535,0.9411805864580535,0.001099023804657516,0.6285124420110202,0.3239159966470248,0.03396345845947733,0.04961476925505747,0.8126710444528209,0.24372139335195359,
0.6322191159493363,0.49577190569264656,0.6583105442816441,0.9339429835282992,0.0032364822590708127,0.622324945232657,0.34724480811678804,0.045003424581193704,0.06852050339624866,0.8130448330053857,0.26739439443120244,
0.6163054715456974,0.48636798651741026,0.6414201646617155,0.9338060297292938,0.0010788277031049064,0.6090562944289613,0.3316848859737591,0.034470008568282605,0.06011690030288901,0.8033479512368652,0.21161620846901633,
0.6174638722259963,0.48673981893262414,0.6469745875301119,0.9342131847691943,0.0017808761335229336,0.6098853485976791,0.316448774351404,0.04020480728450997,0.05709522859592239,0.8056542721441683,0.286782911508544,
0.5740275233636042,0.42515519383634975,0.6014525042418778,0.9426575645857375,0.0005883122762704611,0.5701933725769665,0.3295147590403044,0.029831077195689473,0.04325847672931672,0.7807082767994252,0.2285650707517076,
0.5447778278589104,0.3991420384988942,0.5818688618123834,0.932307108878509,0.0026215246690312597,0.5347167358926542,0.3464181493642006,0.04477959381081853,0.060424336469828775,0.7699415732447037,0.19865115239373776,
0.6201532680738747,0.48780808095147726,0.6462523731397142,0.9348889133987998,0.0031867448757501933,0.6087546731509651,0.3257618815891604,0.035236856153969986,0.06281188546746999,0.8087252909047572,0.23866416463817364,
