psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
31.870416414847973,31.32877735972297,32.01194853279344,35.397940823409286,27.787014122957537,,28.29442751660519,27.84258181023659,27.834479323169102,29.8734157826866,8.705070286088327,
34.29425364034956,33.062430692233555,34.404138250645694,37.94998449143256,28.3202071494454,,28.587243760336296,28.132934650171194,28.460671286507782,34.53019914715507,9.38373414590207,
31.086580815243657,30.71731077178738,31.181072064843267,34.765523894924804,27.656884257518392,25.614015511503908,28.036242907431948,27.982595661799195,27.887675256415463,28.631274405221664,7.340097010538987,
32.885683329707916,31.932770768595418,33.03386023632141,36.71705522315646,28.30589946252017,30.30498596821911,28.066405219598963,27.91391372496583,28.24242840836544,32.88223914705995,9.977197244003763,
34.82488897428439,33.57539972005242,34.93636449911015,38.283452970078855,28.039669149224814,,29.074636196152163,28.012818910625437,27.914913022055895,34.95498309530892,10.431093328082298,
31.378758453528892,30.794190915289118,31.579689326044715,35.440600511499824,28.03198473947054,28.561819678146634,27.987352949229823,27.885852854583035,28.170381096268034,31.129341020356847,9.309974270674186,
34.149770983373436,32.64574031712237,34.21724395045668,37.10700098672785,27.97747062323845,32.08312639737214,28.416600538100646,27.98422398475607,27.907188167098727,34.981514478279,9.868692992405215,
33.2813888340504,32.16187983374612,33.27403173108637,35.92817382183936,27.687752017912057,,28.68962441790055,27.994322704908164,27.71089566516091,31.341468170127232,10.744842276289972,
34.287258381613974,32.82224290434286,34.32080049774545,37.63666654785166,28.829658917333422,,28.619982098449167,28.187782614513424,28.639511862553157,34.90170849067973,11.962345382924608,
31.1451517803741,30.50730102702389,31.223532888618216,34.896544558917256,28.29214171122402,,28.078856738620996,27.980342511356877,28.323544705779984,28.468200781803567,8.498887224740555,
30.607546530446452,30.166302469032104,30.771023393983242,34.5995129057875,27.844636164050122,26.513684747181713,27.974184914515906,27.911068406559863,27.8619375633882,28.837256029867113,9.80208210569543,
32.10039936356913,31.34549552688828,32.219308597032004,35.89598658731538,27.756482899594662,,28.182022860040856,28.101533777313314,28.0986194565288,31.45898693021867,6.824346674232303,
37.01205924533499,34.37736346371788,36.818691409853834,38.50308775686273,28.237404788376175,34.72405703659449,28.906031188508486,28.093050248732744,28.27421030972467,39.13062801522754,10.177609379050832,
32.54574766971102,31.635828241874478,32.59334606116134,35.73405181426156,28.544298347616625,,28.495220113467703,28.13139741125898,28.435787208709392,31.694734878660242,11.668555930804118,
32.95708804111794,31.84528052266056,33.10835856859706,36.702779564442,28.14895653632734,,28.158547696589835,27.83267539055073,28.021995493060356,33.69724249877632,11.05127324407186,
29.79220157015626,29.568702872663852,29.907816678635868,33.186690256276435,28.197630703859268,,28.079384759028656,28.03814510437722,28.45803954434151,25.783086839985195,8.066318532451769,
31.84411064429872,31.01471380817962,31.921243626945817,34.97658070479878,28.11624948733284,,28.327584179902907,28.182523784172027,28.236944124005177,29.86529183898064,9.076191963646185,
33.472652875313614,32.31340339981516,33.517078334592185,36.521818207470005,28.220286232424918,29.659093719982366,28.514334829240802,28.261634076507242,28.481159974303154,32.208213439342636,8.513678909410519,
30.132599310965396,29.804383476836037,30.243038861825063,33.86496434071557,28.4352441222877,,27.972651298105568,27.96749648959424,28.48659846325068,27.08452254806788,8.034990722113273,
