psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
30.833300951845416,30.30150618259298,30.920093668727855,34.09348525840089,28.027816596993766,25.219985439219997,28.11662618814651,27.907059766637452,28.118869896995715,27.967964333563305,7.906159189729274,
30.662628114502727,30.341036797169348,30.78416481443729,34.36113803512641,28.164799306236993,25.166604733337042,28.103549744125857,27.991394070697186,28.200502037278167,28.079901709322233,8.017604596340085,
29.990018765206266,29.777728942793548,30.104879105110207,33.18022430894024,27.902669999785257,23.447463022350178,28.096801272538265,27.962148906620964,28.000901674825315,26.193407970542317,8.073378526812695,
31.422939099602768,30.870630529796163,31.5297596350156,34.94621763811611,28.042018441099504,25.994668759396937,28.081983449920397,27.988974077719917,28.184295923303072,28.92392625414837,7.6694710669398605,
30.893914644453375,30.53077540207046,31.02218340393323,34.3032928901873,27.794398156177706,,28.29557614761923,28.021968995487132,27.91081389969557,27.948779453969735,7.238669036317339,
29.852193061498987,29.767230093527346,29.996580578580975,33.42733459598919,27.990480106115847,,28.255046808528284,27.88725608013058,28.076581026535834,26.469564529401914,8.406100909258926,
31.433992107088578,31.05627317482904,31.533394899954597,34.84265348703633,27.72006582391176,25.702958457136017,28.490620730047546,27.918239153357227,27.77018146954201,28.887334708494524,7.580847693739761,
30.481769079020083,30.225822889874856,30.613148662958203,34.406120377091895,28.187368136703185,,28.117689316744286,28.055300519481158,28.457669427175595,27.518822254822904,8.178869035972069,
31.345459870179,30.870320451823503,31.426356735612547,35.04270895119206,28.162632103696694,25.71573071557453,28.106359305348793,28.030992033646704,28.292709151961407,28.90199450110174,8.046696208472175,
31.270843730240422,30.923661067132468,31.428566165959566,35.05385063889034,27.893979055747224,,28.34086732302554,28.053859521296218,28.095217394124738,28.260329842315794,9.042594700370293,
31.240499530602463,30.72102777641853,31.328387120110243,34.782755512777676,28.11412859580992,25.886948216783047,28.119222150912737,27.955417666091968,28.137507157061698,28.70201925773472,8.855964189334358,
31.179426218188876,30.68498799543226,31.265221749661627,34.462093870709495,28.012773121539908,25.34478692968355,28.17194624726447,27.90452463508176,28.058198939966115,28.63129597027499,7.924238175786465,
30.99795233301269,30.48862819555869,31.10156652793269,34.63331335828315,28.05418049757659,25.96758211315505,28.058740097170066,27.932395311341956,28.113846944671042,28.627904880149508,7.792117932467048,
31.234472931678965,30.840577246305784,31.372435935056338,34.999236691425104,27.947964209505077,25.476753841916285,28.183536314615107,27.94771388455036,28.00342420953179,29.027960101281842,7.734702950331091,
30.860379810285185,30.535004215173252,30.95469723309817,34.15317545002693,27.813309707537943,24.729759734880528,28.25164017321484,27.95611018128706,27.862837122996325,27.680616053618728,7.971275709393364,
31.020432101502347,30.61851203642035,31.122781152350562,34.665627026634155,27.995283511387797,25.252699543426704,28.15297042789745,27.96357317978341,28.064006811022416,28.089222603275182,7.76484170460453,
30.879255995001014,30.49793038369399,31.01748119697486,34.578406618232435,28.062124130080814,25.952473211713176,28.067228420753718,27.9648027401165,28.012105687565736,28.881748198655515,9.652282629573271,
30.61232874969194,30.246401023089486,30.70572438654388,34.176899533745235,27.880052448281436,24.477204130744813,28.042654773087992,27.87075180498331,27.87702669446133,26.821304419992575,7.798359658288314,
29.861882301749144,29.64819937131423,29.957921078406855,33.05679315298371,28.077444997707495,23.48836068544871,28.071828550381476,27.903657279094,28.00609695385603,26.192775967040383,9.088242236547588,
