mse_gaussian_otsu,mse_gaussian_kmeans
16755.575103759766,16879.906748453777
11709.474817911783,11751.509490966797
21109.920735677082,1262.9242401123047
12888.881022135416,12766.528142293295
8178.193196614583,3248.6836547851562
11398.939315795898,11226.098520914713
10744.81548055013,12902.404703776041
8783.386912027994,1601.5024719238281
10982.366434733072,1319.7594909667969
10899.5319925944,12228.135543823242
11863.351888020834,11926.141525268555
19520.27988688151,4431.676411946614
10370.528198242188,9546.92514038086
11518.099329630533,9013.809331258139
9925.395868937174,10753.398574829102
15838.086471557617,1369.2291056315105
13630.175384521484,1865.3836924235027
14307.76123046875,14253.142557779947
16461.5962117513,1932.9698842366536
12387.65306599935,1448.4616953531902
11323.669830322266,10641.310282389322
10448.589426676432,2059.8697357177734
13320.913558959961,3428.3855489095054
11232.879811604818,10979.415883382162
15474.657165527344,15397.293446858725
8643.946319580078,8845.79182434082
13203.643102010092,3371.5531209309897
14837.202835083008,10382.885604858398
12923.05672709147,12207.345321655273
11499.084650675455,2786.6083017985025
12740.360712687174,10260.831217447916
10468.025914510092,9308.960428873697
13276.349914550781,9666.53874206543
11008.773747762045,1904.9613850911458
9711.606821695963,6546.1657155354815
11546.066289265951,3069.429962158203
8635.51262919108,13756.789993286133
12074.78360493978,1857.9159444173176
7290.061381022136,5803.171880086263
13320.563827514648,11408.846852620443
10629.294916788736,1862.3328806559246
10016.268040974936,3973.8806355794272
13487.00064086914,968.7753957112631
7274.663462320964,8070.039896647136
6769.534118652344,449.92287190755206
6173.956822713216,2904.7381591796875
8511.933817545572,8616.355041503906
7866.152170817058,7709.847991943359
11189.57529703776,10847.5869140625
15935.734807332357,12732.060785929361
10053.90495300293,8132.589930216472
12964.378000895182,1203.3022359212239
10944.941024780273,10070.1096089681
13085.647115071615,12518.104665120443
13301.533228556314,12955.040664672852
21373.9995320638,21325.726674397785
14283.499496459961,1771.6193186442058
8124.271260579427,2366.1759033203125
10120.77902730306,5870.973922729492
14510.640014648438,4956.869852701823
11005.862416585287,10548.006540934244
13768.080774943033,13586.0773824056
9704.71686299642,4679.167816162109
12092.62858581543,10753.275512695312
11047.819122314453,10180.543385823568
12148.51584370931,2877.859074910482
10345.67618306478,10431.215581258139
14477.597274780273,2519.2919311523438
14712.706893920898,15568.672225952148
12049.864639282227,11676.395060221354
8588.88518778483,4627.275085449219
14893.069880167643,14817.392542521158
8589.461888631186,8505.30827331543
17030.718505859375,16916.971822102863
14724.257705688477,5754.76394144694
12022.232401529947,2385.746566772461
14246.548858642578,14346.22417195638
15637.057495117188,2192.645192464193
11652.937006632486,12347.536076863607
17204.720692952473,17794.32480875651
12320.003336588541,13445.863149007162
13930.899042765299,2114.609705607096
5371.732432047526,5955.071400960286
9023.259953816732,9554.544209798178
10174.072952270508,9395.268376668295
12151.991526285807,1858.2040354410808
9700.779668172201,9446.36648050944
13370.762456258139,13805.561645507812
14870.410547892252,15490.775263468424
15706.67032368978,1475.1822967529297
10705.895970662436,1967.3363749186199
9772.107350667318,8550.775253295898
10425.237925211588,10537.798645019531
9773.96272277832,9448.441975911459
11234.070943196615,2782.7292124430337
13696.87875366211,13816.145217895508
10939.839248657227,3205.778045654297
17522.067103068035,1468.2723185221355
24566.935470581055,22697.30782063802
6851.796646118164,7742.694361368815
8855.80755106608,4583.398132324219
7981.878143310547,1483.3710479736328
10442.145523071289,5913.207936604817
11973.595184326172,3946.039993286133
8681.688501993814,8726.621439615885
15685.392166137695,14871.00814819336
13296.712849934896,1675.665278116862
9705.706370035807,2566.9462280273438
10221.613815307617,10197.743392944336
10973.7126566569,1592.617467244466
10344.05534362793,9954.705032348633
11267.313451131186,10128.78702290853
13388.912760416666,13274.153132120768
9707.99648030599,1274.3218892415364
10168.230529785156,3459.3358001708984
11687.031733194986,10947.701451619467
10424.48817952474,10252.964345296225
13785.923055013021,13198.713775634766
9192.9851175944,9889.527547200521
12448.271347045898,6096.570663452148
8277.513392130533,2102.3971048990884
11469.555363972982,1551.9400024414062
6787.151774088542,3477.7311350504556
9133.650848388672,8877.04498799642
11420.542831420898,10868.690897623697
9007.856216430664,8961.516301472982
13209.34543355306,12863.987696329752
12218.599024454752,1553.4856414794922
11081.160334269205,10398.856236775717
14902.451944986979,14832.553705851236
16940.330759684246,3128.7154744466147
10390.68105061849,3628.8057149251304
16196.638142903646,16300.306615193686
11808.391270955404,2837.012018839518
18184.08856201172,21391.043431599934
10369.031422932943,11267.408864339193
15840.249298095703,1182.075963338216
11795.775034586588,12084.328903198242
11970.660659790039,3129.7679239908853
15311.156850179037,1766.722132364909
14565.875478108725,1986.1772206624348
11585.494598388672,11563.610392252604
10737.460556030273,10448.064493815104
15276.001693725586,14454.418782552084
8111.1136474609375,7995.587788899739
16554.750259399414,16162.712397257486
8009.934911092122,8214.707880655924
10597.346893310547,4666.00304667155
