mse_gaussian_otsu,mse_gaussian_kmeans
19051.64084370931,18885.44209798177
18239.928644816082,18174.928014119465
17490.612859090168,1308.8265991210938
17501.362970987957,2373.820353190104
19940.55616760254,19746.568232218426
15169.146575927734,14923.492080688477
19761.213826497395,494.03325907389325
15965.966781616211,15894.396479288736
17396.615392049152,641.9272867838541
13311.083185831705,670.0344696044922
15424.06928507487,571.1292521158854
19302.63588968913,19132.424443562824
17393.191380818684,813.8025767008463
19187.18962097168,442.64881388346356
17464.85661315918,17294.015396118164
18410.19046529134,493.91314697265625
14391.51995340983,612.4050598144531
19682.445688883465,19531.81639099121
14612.188700358072,898.9089406331381
16796.471425374348,16755.65781656901
20233.882939656574,679.2239939371744
21035.320134480793,20900.02344258626
18645.40155537923,772.1659901936849
18693.8113861084,503.1498260498047
16631.38147989909,714.6498158772787
14858.164505004883,15014.159464518229
17231.67803446452,638.6780192057291
16799.827056884766,844.3917795817057
14863.899871826172,14497.495025634766
16323.533716837564,16127.698608398438
12110.16106669108,549.0067291259766
17237.823532104492,17175.104558308918
18956.44301859538,1240.4616088867188
18663.521067301434,981.383056640625
16733.42312113444,366.90845743815106
16523.07942199707,16417.73405456543
16978.11605834961,16876.705657958984
13850.054784138998,452.8011220296224
18178.562525431316,676.4555358886719
18614.816243489582,18510.86363728841
19809.499221801758,882.8235626220703
19360.24434407552,893.5817108154297
16518.503946940105,331.86359151204425
17314.43505859375,638.7867940266927
17830.542190551758,522.5239003499349
20648.131927490234,20556.274373372395
20220.937057495117,20124.277857462566
16254.755243937174,1170.5549723307292
20267.59893798828,20043.568405151367
19528.252507527668,563.4200897216797
17930.508458455402,1294.312271118164
19016.462275187176,19468.913152058918
16454.008387247723,16306.26259358724
18655.673884073894,18520.631754557293
16899.783635457356,1280.9323476155598
14474.723826090494,324.7473449707031
15911.561559041342,16253.492680867514
20445.20361836751,845.9522399902344
20556.24612935384,20332.34942118327
18098.103846232098,17963.745310465496
13564.042795817057,13405.266525268555
12403.731313069662,2374.9982248942056
18913.554239908855,18724.694798787434
10137.498413085938,10096.645640055338
19152.917271931965,19092.629811604816
16894.060221354168,16737.62011210124
19233.113377888996,19106.10578918457
15194.830251057943,1422.2841695149739
15427.17733256022,15364.28510538737
15660.974110921225,16050.495035807291
16580.080006917316,16545.118677775066
18978.751907348633,18852.808868408203
15440.160181681314,1531.601353963216
19025.42791748047,19128.446146647137
19034.378041585285,18859.911244710285
19011.434733072918,19061.638025919598
18651.624415079754,18419.35255940755
15575.741200764975,780.3617604573568
18499.746251424152,19672.537658691406
