ssim_unsharp_otsu,ssim_unsharp_kmeans
0.19969294242787686,0.22442145619606793
0.12345460797757261,0.7222277294722016
0.0629463900814357,0.7835684709503608
0.05983631452027243,0.6884047294682493
0.19450542502695733,0.5856926437136359
0.0848034780992248,0.1547954102715301
0.10029994379803825,0.5499639232017203
0.3417810083749464,0.4423417869741342
0.08769861591587207,0.10067014900406555
0.004596458974809333,0.24423122992772642
0.18317920924051742,0.48557117433736413
0.03951522065787364,0.743393090911635
0.21175196098028173,0.23902418437446205
0.015040584510101379,0.6991744105039729
0.13174012746014266,0.538183359174622
0.010027759247705215,0.0026967462978909943
0.04305035444405907,0.08169282694802245
0.13733960922423916,0.17398255348760708
0.0020945642138824774,0.029305984126675833
0.26445570388643186,0.5987873170314321
-0.02685105636802144,0.7923560700300719
0.04336142646272711,0.11453906324469883
0.07186339098927481,0.2252020807277487
0.24909259210322351,0.38606957934910774
0.15136595275394893,0.6733967452498004
0.26112406604165045,0.44146398588413455
-0.0042800073688734645,0.10098714436662819
0.03409913321028025,0.11216070966677988
0.05477047674726162,0.7346812511496097
0.22571995894419317,0.3386555802245484
0.04236643117764711,0.13478896664336523
0.08827259347984097,0.6329019398736307
0.016870167270441442,0.6131885055658329
0.12221880209264087,0.6855915045637156
0.06244668543235734,0.46367051358012096
0.08929679340171011,0.5292943219966718
-0.05898327931209172,0.002193696943814322
-0.0012859966119381254,0.6708370744604523
0.06998503980796827,0.4886350024573985
0.020695764342093123,0.18771859402868252
0.14816085742645155,0.5354023413102845
0.23601462522045477,0.23861165629484737
0.12913998454161643,0.7595057388072682
0.07771767515309057,0.16908511313975993
0.1360328547708104,0.6900040574676153
0.3821491993771103,0.36495454941795674
0.22584274861916986,0.4968659746041793
0.22736759325177433,0.2686777743242437
0.040688731562068474,0.5228368299078182
0.014987233139557526,0.6107924800620458
0.09130774222751419,0.7689363046775575
0.21173458820000032,0.19871634278302971
0.025927577219536924,0.2680353263109994
0.1074174019363885,0.646667318425664
0.1704428999687154,0.6246892964721488
0.059080352670516485,0.08619066925951975
0.041087861438124915,0.08456008188929263
0.0842568172523806,0.6931736558790869
0.4251028327241531,0.32483803576707165
0.02791373726522602,0.050509735776068564
0.07701008219472534,0.6262382353167261
0.06979733692478375,0.7218853034343718
0.2547470329384558,0.41122796970950254
0.05478590278965421,0.681827557977959
0.09664584538648326,0.20108612102570497
0.01952213713210628,0.07925414623117148
0.07025884504077606,0.21998085308994686
0.043542030151255684,0.07530983305919234
0.1259106080030432,0.17604261746293318
0.08278202015614729,0.6724816630776007
0.09105257330895784,0.3987500946143467
0.09706872883303225,0.6829522199243275
